examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000300 00000024 t vTarea2
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000324 00000028 t vTarea1
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100000a8 00000004 b heap_end.5849
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0004fc 00000064 t prvHeapInit
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100000b0 00002000 b ucHeap
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000560 00000058 t prvInsertBlockIntoFreeList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100000ac 00000004 b pxEnd
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100020b0 00000004 b xBlockAllocatedBit
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100020b4 00000004 b xFreeBytesRemaining
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100020b8 00000004 b xMinimumEverFreeBytesRemaining
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100020bc 00000008 b xStart
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a00072c 0000001e t prvIsQueueFull
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a00074a 0000001a t prvIsQueueEmpty
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000764 00000076 t prvCopyDataToQueue
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0007da 00000024 t prvCopyDataFromQueue
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0007fe 0000006e t prvUnlockQueue
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0008f0 00000022 t prvInitialiseNewQueue
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100020c4 00000190 b uxIdleTaskStack.10798
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002254 00000640 b uxTimerTaskStack.10805
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002894 00000060 b xIdleTaskTCB.10797
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100028f4 00000060 b xTimerTaskTCB.10804
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000ee8 0000002c t prvResetNextTaskUnblockTime
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000f14 00000092 t prvInitialiseNewTask
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a000fa8 00000068 t prvInitialiseTaskLists
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001010 000000ac t prvAddNewTaskToReadyList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0010bc 00000038 t prvDeleteTCB
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0010f4 0000004c t prvCheckTasksWaitingTermination
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001140 00000028 t prvIdleTask
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001168 00000098 t prvAddCurrentTaskToDelayedList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002958 00000004 b pxDelayedTaskList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1000295c 00000004 b pxOverflowDelayedTaskList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002960 0000008c b pxReadyTasksLists
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100029ec 00000004 b uxCurrentNumberOfTasks
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100029f0 00000004 b uxDeletedTasksWaitingCleanUp
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100029f4 00000004 b uxPendedTicks
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100029f8 00000004 b uxSchedulerSuspended
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:100029fc 00000004 b uxTaskNumber
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a00 00000004 b uxTopReadyPriority
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a04 00000014 b xDelayedTaskList1
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a18 00000014 b xDelayedTaskList2
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a2c 00000004 b xNextTaskUnblockTime
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a30 00000004 b xNumOfOverflows
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a34 00000014 b xPendingReadyList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a48 00000004 b xSchedulerRunning
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a4c 00000014 b xSuspendedTaskList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a60 00000014 b xTasksWaitingTermination
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a74 00000004 b xTickCount
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:10002a78 00000004 b xYieldPending
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0019dc 00000020 t prvGetNextExpireTime
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a0019fc 00000048 t prvInsertTimerInActiveList
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001a44 00000070 t prvCheckForValidListAndQueue
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001df4 00000016 t prvTimerTask
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001b84 00000078 t prvSwitchTimerLists
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001bfc 0000002c t prvSampleTimeNow
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001c28 00000060 t prvProcessExpiredTimer
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001c88 00000074 t prvProcessTimerOrBlockTask
examples0/c/td3/td3_freertos_02/out/td3_freertos_02.elf:1a001cfc 000000f8 t prvProcessReceivedCommands
